year,faculty_name,department_name,Adana,Adıyaman,Afyonkarahisar,Ağrı,Amasya,Ankara,Antalya,Artvin,Aydın,Balıkesir,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Çanakkale,Çankırı,Çorum,Denizli,Diyarbakır,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kırklareli,Kırşehir,Kocaeli,Konya,Kütahya,Malatya,Manisa,Kahramanmaraş,Mardin,Muğla,Muş,Nevşehir,Niğde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Şanlıurfa,Uşak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kırıkkale,Batman,Sırnak,Bartın,Ardahan,Iğdır,Yalova,Karabük,Kilis,Osmaniye,Düzce
2021,Elektrik-Elektronik Fakültesi,Bilgisayar Mühendisliği,1,0,0,0,4,5,3,0,1,5,0,1,0,0,0,9,1,0,1,3,2,0,0,0,0,0,2,1,0,0,2,2,1,26,4,1,1,2,0,0,2,2,0,0,0,4,0,0,0,0,1,2,1,3,2,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2022,Elektrik-Elektronik Fakültesi,Bilgisayar Mühendisliği,3,0,2,0,0,0,2,0,0,2,0,0,0,0,3,11,0,0,1,5,0,0,1,0,1,0,1,0,0,0,3,0,1,26,7,0,0,2,1,0,4,6,0,2,1,2,0,2,0,0,0,2,0,1,0,0,0,1,0,2,1,0,2,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023,Elektrik-Elektronik Fakültesi,Bilgisayar Mühendisliği,5,1,1,0,0,5,2,0,0,0,0,1,0,1,1,9,1,0,0,2,3,1,0,0,0,2,2,0,0,0,3,1,1,29,3,0,0,1,0,0,4,6,0,2,3,3,0,1,0,0,3,4,1,1,2,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
2024,Elektrik-Elektronik Fakültesi,Bilgisayar Mühendisliği,6,1,1,0,0,2,5,0,3,1,0,0,1,0,1,3,0,0,0,3,2,1,1,0,1,1,2,1,0,0,1,2,2,27,2,0,1,3,0,0,2,6,1,2,2,1,0,1,0,1,0,1,0,1,7,0,0,0,1,1,4,0,1,1,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,2,3
2021,Eğitim Fakültesi,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,0,0,0,0,0,0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,Eğitim Fakültesi,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,24,0,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023,Eğitim Fakültesi,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2024,Eğitim Fakültesi,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021,Elektrik-Elektronik Fakültesi,Biyomedikal Mühendisliği (İngilizce),1,0,0,0,0,2,2,0,1,3,1,0,0,1,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,27,3,0,0,2,0,0,1,2,0,0,2,0,0,0,0,1,0,1,0,2,1,0,0,1,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Elektrik-Elektronik Fakültesi,Biyomedikal Mühendisliği (İngilizce),2,0,0,0,0,2,1,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,28,4,0,0,0,0,0,4,3,0,1,1,0,1,1,0,0,0,1,0,0,2,1,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2
