department_name,total_male_number_2021,total_male_number_2022,total_male_number_2023,total_male_number_2024,total_female_number_2021,total_female_number_2022,total_female_number_2023,total_female_number_2024,male_change_2021,male_change_2022,male_change_2023,male_change_2024,female_change_2021,female_change_2022,female_change_2023,female_change_2024
Bilgisayar Mühendisliği,769.0,827.0,771.0,771.0,121.0,140.0,128.0,128.0,,7.542262678803646,-6.771463119709797,0.0,,15.702479338842966,-8.571428571428575,0.0
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,178.0,186.0,175.0,175.0,99.0,88.0,87.0,87.0,,4.494382022471921,-5.913978494623651,0.0,,-11.111111111111116,-1.1363636363636354,0.0
Biyomedikal Mühendisliği (İngilizce),105.0,191.0,208.0,208.0,143.0,243.0,271.0,271.0,,81.9047619047619,8.900523560209429,0.0,,69.93006993006993,11.522633744855959,0.0
Biyomühendislik,84.0,109.0,106.0,106.0,319.0,367.0,341.0,341.0,,29.761904761904766,-2.752293577981646,0.0,,15.047021943573657,-7.0844686648501405,0.0
Biyomühendislik (İngilizce),111.0,118.0,113.0,113.0,307.0,350.0,333.0,333.0,,6.3063063063063085,-4.23728813559322,0.0,,14.006514657980462,-4.857142857142859,0.0
Elektrik Mühendisliği,835.0,758.0,720.0,720.0,112.0,132.0,137.0,137.0,,-9.221556886227544,-5.013192612137207,0.0,,17.85714285714286,3.7878787878787845,0.0
Elektronik ve Haberleşme Mühendisliği,712.0,688.0,635.0,635.0,102.0,109.0,107.0,107.0,,-3.3707865168539297,-7.703488372093026,0.0,,6.8627450980392135,-1.834862385321101,0.0
Endüstri Mühendisliği,333.0,357.0,334.0,334.0,278.0,286.0,270.0,270.0,,7.2072072072072,-6.442577030812324,0.0,,2.877697841726623,-5.594405594405593,0.0
Endüstri Mühendisliği (İngilizce),224.0,268.0,265.0,265.0,160.0,199.0,203.0,203.0,,19.64285714285714,-1.1194029850746245,0.0,,24.374999999999993,2.01005025125629,0.0
Fen Bilgisi Öğretmenliği,50.0,58.0,65.0,65.0,210.0,215.0,211.0,211.0,,15.999999999999993,12.06896551724137,0.0,,2.3809523809523725,-1.8604651162790753,0.0
Fizik,306.0,272.0,278.0,278.0,182.0,185.0,188.0,188.0,,-11.111111111111116,2.2058823529411686,0.0,,1.6483516483516425,1.6216216216216273,0.0
Fotoğraf ve Video,95.0,107.0,114.0,114.0,85.0,135.0,149.0,149.0,,12.631578947368416,6.542056074766345,0.0,,58.823529411764696,10.370370370370363,0.0
Fransızca Mütercim ve Tercümanlık,14.0,50.0,46.0,46.0,37.0,90.0,123.0,123.0,,257.14285714285717,-7.9999999999999964,0.0,,143.24324324324326,36.66666666666667,0.0
Gemi Makineleri İşletme Mühendisliği,434.0,471.0,416.0,416.0,19.0,34.0,39.0,39.0,,8.525345622119819,-11.677282377919319,0.0,,78.94736842105263,14.705882352941169,0.0
