year,department_name,quota,preferred,placed_students,Quota Change,Preferred Change,Placed Students Change,Quota Change (%),Preferred Change (%),Placed Students Change (%)
2021,Bilgisayar Mühendisliği,103,3542,103,,,,,,
2022,Bilgisayar Mühendisliği,103,4594,103,0.0,1052.0,0.0,0.0,29.70073404856013,0.0
2023,Bilgisayar Mühendisliği,113,2872,113,10.0,-1722.0,10.0,9.708737864077666,-37.48367435785808,9.708737864077666
2024,Bilgisayar Mühendisliği,118,3008,118,5.0,136.0,5.0,4.424778761061954,4.73537604456824,4.424778761061954
2021,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,41,325,41,,,,,,
2022,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,41,525,41,0.0,200.0,0.0,0.0,61.53846153846154,0.0
2023,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,41,588,41,0.0,63.0,0.0,0.0,12.00000000000001,0.0
2024,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,47,461,47,6.0,-127.0,6.0,14.634146341463406,-21.59863945578231,14.634146341463406
2021,Biyomedikal Mühendisliği (İngilizce),72,960,72,,,,,,
2022,Biyomedikal Mühendisliği (İngilizce),72,1013,72,0.0,53.0,0.0,0.0,5.52083333333333,0.0
2023,Biyomedikal Mühendisliği (İngilizce),72,1032,72,0.0,19.0,0.0,0.0,1.875616979269501,0.0
2024,Biyomedikal Mühendisliği (İngilizce),62,1212,62,-10.0,180.0,-10.0,-13.888888888888884,17.44186046511629,-13.888888888888884
2021,Biyomühendislik,72,1206,72,,,,,,
2022,Biyomühendislik,72,141,72,0.0,-1065.0,0.0,0.0,-88.30845771144278,0.0
2023,Biyomühendislik,72,1190,72,0.0,1049.0,0.0,0.0,743.9716312056738,0.0
2024,Biyomühendislik,72,1182,72,0.0,-8.0,0.0,0.0,-0.6722689075630228,0.0
2021,Biyomühendislik (İngilizce),62,1477,62,,,,,,
2022,Biyomühendislik (İngilizce),62,1642,62,0.0,165.0,0.0,0.0,11.17129316181449,0.0
2023,Biyomühendislik (İngilizce),62,1385,62,0.0,-257.0,0.0,0.0,-15.651644336175396,0.0
2024,Biyomühendislik (İngilizce),62,1323,62,0.0,-62.0,0.0,0.0,-4.476534296028878,0.0
2021,Elektrik Mühendisliği,134,1166,134,,,,,,
2022,Elektrik Mühendisliği,134,1641,134,0.0,475.0,0.0,0.0,40.73756432246998,0.0
2023,Elektrik Mühendisliği,134,1894,134,0.0,253.0,0.0,0.0,15.4174283973187,0.0
2024,Elektrik Mühendisliği,139,2143,139,5.0,249.0,5.0,3.731343283582089,13.146779303062296,3.731343283582089
2021,Elektronik ve Haberleşme Mühendisliği,113,1259,113,,,,,,
2022,Elektronik ve Haberleşme Mühendisliği,113,1623,113,0.0,364.0,0.0,0.0,28.91183478951549,0.0
2023,Elektronik ve Haberleşme Mühendisliği,113,1913,113,0.0,290.0,0.0,0.0,17.86814540973505,0.0
2024,Elektronik ve Haberleşme Mühendisliği,118,2079,118,5.0,166.0,5.0,4.424778761061954,8.677469942498695,4.424778761061954
2021,Endüstri Mühendisliği,82,1769,82,,,,,,
2022,Endüstri Mühendisliği,82,239,82,0.0,-1530.0,0.0,0.0,-86.48954211418881,0.0
2023,Endüstri Mühendisliği,82,2036,82,0.0,1797.0,0.0,0.0,751.8828451882845,0.0
2024,Endüstri Mühendisliği,88,1976,88,6.0,-60.0,6.0,7.317073170731714,-2.946954813359526,7.317073170731714
2021,Endüstri Mühendisliği (İngilizce),52,196,52,,,,,,
2022,Endüstri Mühendisliği (İngilizce),52,2626,52,0.0,2430.0,0.0,0.0,1239.795918367347,0.0
2023,Endüstri Mühendisliği (İngilizce),52,2346,52,0.0,-280.0,0.0,0.0,-10.66260472201066,0.0
2024,Endüstri Mühendisliği (İngilizce),57,2044,57,5.0,-302.0,5.0,9.615384615384626,-12.872975277067344,9.615384615384626
