faculty_name,total_male_number_2021,total_male_number_2022,total_male_number_2023,total_female_number_2021,total_female_number_2022,total_female_number_2023,male_change_2021,male_change_2022,male_change_2023,female_change_2021,female_change_2022,female_change_2023
Elektrik-Elektronik Fakültesi,3146,3275,3111,599,783,817,,4.100445009535925,-5.007633587786264,,30.717863105175304,4.342273307790556
Eğitim Fakültesi,816,878,854,1793,1891,1837,,7.59803921568627,-2.733485193621865,,5.465699944227542,-2.8556319407720743
Fen-Edebiyat Fakültesi,1171,1254,1312,1787,1907,1978,,7.087959009393674,4.6251993620414655,,6.715165081141583,3.723125327739907
Gemi İnşaatı ve Denizcilik Fakültesi,980,1025,939,71,102,111,,4.591836734693877,-8.390243902439021,,43.66197183098593,8.823529411764696
Kimya-Metalurji Fakültesi,1807,1896,1924,2491,2637,2508,,4.92529053680133,1.4767932489451407,,5.861099959855487,-4.891922639362911
Makine Fakültesi,2813,2873,2656,693,799,803,,2.1329541414859543,-7.553080403759138,,15.295815295815295,0.5006257822277815
Mimarlık Fakültesi,784,812,746,1232,1501,1493,,3.571428571428581,-8.128078817733986,,21.834415584415588,-0.532978014656893
Sanat ve Tasarım Fakültesi,148,262,326,160,407,522,,77.02702702702702,24.427480916030532,,154.37500000000003,28.25552825552826
İktisadi ve İdari Bilimler Fakültesi,765,900,968,716,814,916,,17.647058823529417,7.55555555555556,,13.687150837988838,12.53071253071254
İnşaat Fakültesi,1835,1705,1567,639,709,693,,-7.0844686648501405,-8.093841642228739,,10.954616588419409,-2.256699576868826
