faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number
1,Elektrik-Elektronik Fakültesi,1,Bilgisayar Mühendisliği,SAY,2021,85,18,769,121,890
1,Elektrik-Elektronik Fakültesi,1,Bilgisayar Mühendisliği,SAY,2021,85,18,827,140,967
1,Elektrik-Elektronik Fakültesi,1,Bilgisayar Mühendisliği,SAY,2021,85,18,771,128,899
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2021,30,11,178,99,277
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2021,30,11,186,88,274
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2021,30,11,175,87,262
1,Elektrik-Elektronik Fakültesi,3,Biyomedikal Mühendisliği (İngilizce),SAY,2021,34,38,105,143,248
1,Elektrik-Elektronik Fakültesi,3,Biyomedikal Mühendisliği (İngilizce),SAY,2021,34,38,191,243,434
1,Elektrik-Elektronik Fakültesi,3,Biyomedikal Mühendisliği (İngilizce),SAY,2021,34,38,208,271,479
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2021,18,54,84,319,403
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2021,18,54,109,367,476
5,Kimya-Metalurji Fakültesi,4,Biyomühendislik,SAY,2021,18,54,106,341,447
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2021,10,52,111,307,418
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2021,10,52,118,350,468
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2021,10,52,113,333,446
1,Elektrik-Elektronik Fakültesi,7,Elektrik Mühendisliği,SAY,2021,109,25,835,112,947
1,Elektrik-Elektronik Fakültesi,7,Elektrik Mühendisliği,SAY,2021,109,25,758,132,890
1,Elektrik-Elektronik Fakültesi,7,Elektrik Mühendisliği,SAY,2021,109,25,720,137,857
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2021,92,21,712,102,814
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2021,92,21,688,109,797
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2021,92,21,635,107,742
6,Makine Fakültesi,9,Endüstri Mühendisliği,SAY,2021,45,37,333,278,611
6,Makine Fakültesi,9,Endüstri Mühendisliği,SAY,2021,45,37,357,286,643
6,Makine Fakültesi,9,Endüstri Mühendisliği,SAY,2021,45,37,334,270,604
6,Makine Fakültesi,10,Endüstri Mühendisliği (İngilizce),SAY,2021,29,23,224,160,384
6,Makine Fakültesi,10,Endüstri Mühendisliği (İngilizce),SAY,2021,29,23,268,199,467
6,Makine Fakültesi,10,Endüstri Mühendisliği (İngilizce),SAY,2021,29,23,265,203,468
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2021,17,45,50,210,260
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2021,17,45,58,215,273
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2021,17,45,65,211,276
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2021,48,34,306,182,488
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2021,48,34,272,185,457
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2021,48,34,278,188,466
8,Sanat ve Tasarım Fakültesi,13,Fotoğraf ve Video,SÖZ,2021,13,28,95,85,180
8,Sanat ve Tasarım Fakültesi,13,Fotoğraf ve Video,SÖZ,2021,13,28,107,135,242
8,Sanat ve Tasarım Fakültesi,13,Fotoğraf ve Video,SÖZ,2021,13,28,114,149,263
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2021,21,31,14,37,51
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2021,21,31,50,90,140
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2021,21,31,46,123,169
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2021,60,12,434,19,453
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2021,60,12,471,34,505
4,Gemi İnşaatı ve Denizcilik Fakültesi,16,Gemi Makineleri İşletme Mühendisliği,SAY,2021,60,12,416,39,455
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2021,69,13,546,52,598
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2021,69,13,554,68,622
4,Gemi İnşaatı ve Denizcilik Fakültesi,15,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,SAY,2021,69,13,523,72,595
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2021,18,54,63,323,386
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2021,18,54,73,338,411
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2021,18,54,79,331,410
10,İnşaat Fakültesi,18,Harita Mühendisliği,SAY,2021,63,30,434,199,633
10,İnşaat Fakültesi,18,Harita Mühendisliği,SAY,2021,63,30,380,208,588
10,İnşaat Fakültesi,18,Harita Mühendisliği,SAY,2021,63,30,345,201,546
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2021,23,80,144,495,639
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2021,23,80,131,485,616
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2021,23,80,125,469,594
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2021,15,37,69,149,218
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2021,15,37,81,181,262
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2021,15,37,79,207,286
5,Kimya-Metalurji Fakültesi,31,Kimya Mühendisliği,SAY,2021,23,59,147,377,524
5,Kimya-Metalurji Fakültesi,31,Kimya Mühendisliği,SAY,2021,23,59,156,398,554
5,Kimya-Metalurji Fakültesi,31,Kimya Mühendisliği,SAY,2021,23,59,157,367,524
5,Kimya-Metalurji Fakültesi,32,Kimya Mühendisliği (İngilizce),SAY,2021,23,49,143,277,420
5,Kimya-Metalurji Fakültesi,32,Kimya Mühendisliği (İngilizce),SAY,2021,23,49,176,304,480
5,Kimya-Metalurji Fakültesi,32,Kimya Mühendisliği (İngilizce),SAY,2021,23,49,176,311,487
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2021,48,24,414,60,474
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2021,48,24,450,79,529
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2021,48,24,417,88,505
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2021,35,17,311,61,372
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2021,35,17,361,80,441
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2021,35,17,360,86,446
7,Mimarlık Fakültesi,35,Kültür Varlıklarını Koruma ve Onarım,EA,2021,14,27,40,58,98
7,Mimarlık Fakültesi,35,Kültür Varlıklarını Koruma ve Onarım,EA,2021,14,27,76,104,180
7,Mimarlık Fakültesi,35,Kültür Varlıklarını Koruma ve Onarım,EA,2021,14,27,88,130,218
7,Mimarlık Fakültesi,36,Kültür Varlıklarını Koruma ve Onarım (KKTC Uyruklu),EA,2023,0,0,0,0,0
6,Makine Fakültesi,37,Makine Mühendisliği,SAY,2021,194,22,1546,122,1668
6,Makine Fakültesi,37,Makine Mühendisliği,SAY,2021,194,22,1429,150,1579
6,Makine Fakültesi,37,Makine Mühendisliği,SAY,2021,194,22,1277,165,1442
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2021,48,34,190,235,425
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2021,48,34,232,193,425
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2021,48,34,254,198,452
5,Kimya-Metalurji Fakültesi,39,Matematik Mühendisliği,SAY,2021,53,50,364,347,711
5,Kimya-Metalurji Fakültesi,39,Matematik Mühendisliği,SAY,2021,53,50,367,302,669
5,Kimya-Metalurji Fakültesi,39,Matematik Mühendisliği,SAY,2021,53,50,402,274,676
5,Kimya-Metalurji Fakültesi,41,Matematik Mühendisliği (KKTC Uyruklu),SAY,2021,0,0,0,0,0
5,Kimya-Metalurji Fakültesi,41,Matematik Mühendisliği (KKTC Uyruklu),SAY,2021,0,0,0,0,0
5,Kimya-Metalurji Fakültesi,41,Matematik Mühendisliği (KKTC Uyruklu),SAY,2021,0,0,0,0,0
5,Kimya-Metalurji Fakültesi,40,Matematik Mühendisliği (İngilizce),SAY,2021,48,24,205,197,402
5,Kimya-Metalurji Fakültesi,40,Matematik Mühendisliği (İngilizce),SAY,2021,48,24,272,186,458
5,Kimya-Metalurji Fakültesi,40,Matematik Mühendisliği (İngilizce),SAY,2021,48,24,306,175,481
6,Makine Fakültesi,42,Mekatronik Mühendisliği,SAY,2021,49,13,378,75,453
6,Makine Fakültesi,42,Mekatronik Mühendisliği,SAY,2021,49,13,421,91,512
6,Makine Fakültesi,42,Mekatronik Mühendisliği,SAY,2021,49,13,398,85,483
6,Makine Fakültesi,43,Mekatronik Mühendisliği (İngilizce),SAY,2021,37,15,332,58,390
6,Makine Fakültesi,43,Mekatronik Mühendisliği (İngilizce),SAY,2021,37,15,390,73,463
6,Makine Fakültesi,43,Mekatronik Mühendisliği (İngilizce),SAY,2021,37,15,379,80,459
6,Makine Fakültesi,44,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),SAY,2021,0,0,0,0,0
6,Makine Fakültesi,44,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),SAY,2021,0,0,8,0,8
6,Makine Fakültesi,44,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),SAY,2021,0,0,3,0,3
5,Kimya-Metalurji Fakültesi,45,Metalurji ve Malzeme Mühendisliği,SAY,2021,45,58,487,220,707
5,Kimya-Metalurji Fakültesi,45,Metalurji ve Malzeme Mühendisliği,SAY,2021,45,58,416,263,679
5,Kimya-Metalurji Fakültesi,45,Metalurji ve Malzeme Mühendisliği,SAY,2021,45,58,380,249,629
5,Kimya-Metalurji Fakültesi,46,Metalurji ve Malzeme Mühendisliği (İngilizce),SAY,2021,30,22,203,124,327
5,Kimya-Metalurji Fakültesi,46,Metalurji ve Malzeme Mühendisliği (İngilizce),SAY,2021,30,22,209,129,338
5,Kimya-Metalurji Fakültesi,46,Metalurji ve Malzeme Mühendisliği (İngilizce),SAY,2021,30,22,205,127,332
7,Mimarlık Fakültesi,47,Mimarlık,SAY,2021,38,96,465,645,1110
7,Mimarlık Fakültesi,47,Mimarlık,SAY,2021,38,96,422,733,1155
7,Mimarlık Fakültesi,47,Mimarlık,SAY,2021,38,96,341,684,1025
7,Mimarlık Fakültesi,48,Mimarlık (İngilizce),SAY,2021,21,51,162,262,424
7,Mimarlık Fakültesi,48,Mimarlık (İngilizce),SAY,2021,21,51,190,357,547
7,Mimarlık Fakültesi,48,Mimarlık (İngilizce),SAY,2021,21,51,180,371,551
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2021,17,65,124,254,378
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2021,17,65,130,326,456
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2021,17,65,135,323,458
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2021,4,58,43,258,301
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2021,4,58,48,280,328
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2021,4,58,45,257,302
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2021,20,52,86,269,355
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2021,20,52,93,282,375
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2021,20,52,87,298,385
8,Sanat ve Tasarım Fakültesi,52,Sanat ve Kültür Yönetimi,SÖZ,2021,22,40,26,36,62
8,Sanat ve Tasarım Fakültesi,52,Sanat ve Kültür Yönetimi,SÖZ,2021,22,40,73,119,192
8,Sanat ve Tasarım Fakültesi,52,Sanat ve Kültür Yönetimi,SÖZ,2021,22,40,107,155,262
9,İktisadi ve İdari Bilimler Fakültesi,54,Siyaset Bilimi ve Uluslararası İlişkiler,EA,2021,34,48,212,292,504
9,İktisadi ve İdari Bilimler Fakültesi,54,Siyaset Bilimi ve Uluslararası İlişkiler,EA,2021,34,48,196,302,498
