department_name,year,quota,preferred,placed_students,professors,phd,assoc_prof,Quota Change,Quota Change (%),Preferred Change,Preferred Change (%),Placed_students Change,Placed_students Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc_prof Change,Assoc_prof Change (%)
Bilgisayar Mühendisliği,2021,103,3542,103,5,10,5,,,,,,,,,,,,
Bilgisayar Mühendisliği,2022,103,4594,103,7,10,5,0.0,0.0,1052.0,29.70073404856013,0.0,0.0,2.0,39.99999999999999,0.0,0.0,0.0,0.0
Bilgisayar Mühendisliği,2023,113,2872,113,8,8,4,10.0,9.708737864077666,-1722.0,-37.48367435785808,10.0,9.708737864077666,1.0,14.28571428571428,-2.0,-19.999999999999996,-1.0,-19.999999999999996
Bilgisayar Mühendisliği,2024,118,3008,118,8,8,4,5.0,4.424778761061954,136.0,4.73537604456824,5.0,4.424778761061954,0.0,0.0,0.0,0.0,0.0,0.0
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,2021,41,325,41,1,4,1,,,,,,,,,,,,
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,2022,41,525,41,1,3,0,0.0,0.0,200.0,61.53846153846154,0.0,0.0,0.0,0.0,-1.0,-25.0,-1.0,-100.0
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,2023,41,588,41,1,1,2,0.0,0.0,63.0,12.00000000000001,0.0,0.0,0.0,0.0,-2.0,-66.66666666666667,2.0,inf
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,2024,47,461,47,1,1,2,6.0,14.634146341463406,-127.0,-21.59863945578231,6.0,14.634146341463406,0.0,0.0,0.0,0.0,0.0,0.0
Biyomedikal Mühendisliği (İngilizce),2021,72,960,72,0,4,1,,,,,,,,,,,,
Biyomedikal Mühendisliği (İngilizce),2022,72,1013,72,0,4,3,0.0,0.0,53.0,5.52083333333333,0.0,0.0,0.0,,0.0,0.0,2.0,200.0
Biyomedikal Mühendisliği (İngilizce),2023,72,1032,72,2,2,4,0.0,0.0,19.0,1.875616979269501,0.0,0.0,2.0,inf,-2.0,-50.0,1.0,33.33333333333333
Biyomedikal Mühendisliği (İngilizce),2024,62,1212,62,2,2,4,-10.0,-13.888888888888884,180.0,17.44186046511629,-10.0,-13.888888888888884,0.0,0.0,0.0,0.0,0.0,0.0
Biyomühendislik,2021,72,1206,72,6,5,2,,,,,,,,,,,,
Biyomühendislik,2022,72,1410,72,6,5,5,0.0,0.0,204.0,16.915422885572127,0.0,0.0,0.0,0.0,0.0,0.0,3.0,150.0
Biyomühendislik,2023,72,1190,72,11,2,7,0.0,0.0,-220.0,-15.602836879432624,0.0,0.0,5.0,83.33333333333333,-3.0,-60.0,2.0,39.99999999999999
Biyomühendislik,2024,72,1182,72,11,2,7,0.0,0.0,-8.0,-0.6722689075630228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biyomühendislik (İngilizce),2021,62,1477,62,6,5,2,,,,,,,,,,,,
Biyomühendislik (İngilizce),2022,62,1642,62,6,5,5,0.0,0.0,165.0,11.17129316181449,0.0,0.0,0.0,0.0,0.0,0.0,3.0,150.0
Biyomühendislik (İngilizce),2023,62,1385,62,11,2,7,0.0,0.0,-257.0,-15.651644336175396,0.0,0.0,5.0,83.33333333333333,-3.0,-60.0,2.0,39.99999999999999
Biyomühendislik (İngilizce),2024,62,1323,62,11,2,7,0.0,0.0,-62.0,-4.476534296028878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elektrik Mühendisliği,2021,134,1166,134,7,18,6,,,,,,,,,,,,
Elektrik Mühendisliği,2022,134,1641,134,8,18,7,0.0,0.0,475.0,40.73756432246998,0.0,0.0,1.0,14.28571428571428,0.0,0.0,1.0,16.666666666666675
Elektrik Mühendisliği,2023,134,1894,134,9,14,16,0.0,0.0,253.0,15.4174283973187,0.0,0.0,1.0,12.5,-4.0,-22.22222222222222,9.0,128.57142857142856
Elektrik Mühendisliği,2024,139,2143,139,9,14,16,5.0,3.731343283582089,249.0,13.146779303062296,5.0,3.731343283582089,0.0,0.0,0.0,0.0,0.0,0.0
Elektronik ve Haberleşme Mühendisliği,2021,113,1259,113,7,9,7,,,,,,,,,,,,
Elektronik ve Haberleşme Mühendisliği,2022,113,1623,113,9,5,9,0.0,0.0,364.0,28.91183478951549,0.0,0.0,2.0,28.57142857142858,-4.0,-44.44444444444444,2.0,28.57142857142858
Elektronik ve Haberleşme Mühendisliği,2023,113,1913,113,13,8,7,0.0,0.0,290.0,17.86814540973505,0.0,0.0,4.0,44.44444444444444,3.0,60.00000000000001,-2.0,-22.22222222222222
Elektronik ve Haberleşme Mühendisliği,2024,118,2079,118,13,8,7,5.0,4.424778761061954,166.0,8.677469942498695,5.0,4.424778761061954,0.0,0.0,0.0,0.0,0.0,0.0
Endüstri Mühendisliği,2021,82,1769,82,9,8,4,,,,,,,,,,,,
Endüstri Mühendisliği,2022,82,2390,82,10,8,5,0.0,0.0,621.0,35.104578858111935,0.0,0.0,1.0,11.111111111111116,0.0,0.0,1.0,25.0
Endüstri Mühendisliği,2023,82,2036,82,10,8,4,0.0,0.0,-354.0,-14.81171548117155,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-19.999999999999996
Endüstri Mühendisliği,2024,88,1976,88,10,8,4,6.0,7.317073170731714,-60.0,-2.946954813359526,6.0,7.317073170731714,0.0,0.0,0.0,0.0,0.0,0.0
Endüstri Mühendisliği (İngilizce),2021,52,1960,52,9,8,4,,,,,,,,,,,,
Endüstri Mühendisliği (İngilizce),2022,52,2626,52,10,8,5,0.0,0.0,666.0,33.97959183673469,0.0,0.0,1.0,11.111111111111116,0.0,0.0,1.0,25.0
Endüstri Mühendisliği (İngilizce),2023,52,2346,52,10,8,4,0.0,0.0,-280.0,-10.66260472201066,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-19.999999999999996
Endüstri Mühendisliği (İngilizce),2024,57,2044,57,10,8,4,5.0,9.615384615384626,-302.0,-12.872975277067344,5.0,9.615384615384626,0.0,0.0,0.0,0.0,0.0,0.0
Fen Bilgisi Öğretmenliği,2021,62,729,62,5,3,1,,,,,,,,,,,,
Fen Bilgisi Öğretmenliği,2022,62,616,62,5,1,3,0.0,0.0,-113.0,-15.500685871056241,0.0,0.0,0.0,0.0,-2.0,-66.66666666666667,2.0,200.0
