Department Name,Year,Total Male Number,Total Female Number,Male Change,Male Percentage Change,Female Percentage Change,Quota,Preferred number,Placed Number,Professors,Phd,Assoc Prof,Quota Change,Quota Change (%),Preferred number Change,Preferred number Change (%),Placed number Change,Placed number Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc prof Change,Assoc prof Change (%),Base Point,Success Order,Total Correct TYT,Total Correct AYT,Total Correct YDT,Base Point Change,Success Order Change,Total Correct TYT Change,Total Correct AYT Change,Total Correct YDT Change,Base Point Change (%),Success Order Change (%),Total Correct TYT Change (%),Total Correct AYT Change (%),Total Correct YDT Change (%)
Architecture,2021,465,645,0.0,0.0,0.0,134,2578,134,15,23,21,,,,,,,,,,,,,382.28501,58814,72.4,47.7,0.0,,,,,,,,,,
Architecture,2022,422,733,88.0,-9.247311827956995,13.643410852713188,134,2057,134,13,21,22,0.0,0.0,-521.0,-20.209464701318847,0.0,0.0,-2.0,-13.33333333333333,-2.0,-8.695652173913048,1.0,4.761904761904767,396.07043,46853,75.7,49.3,0.0,,,,,,,,,,
Architecture,2023,341,684,-49.0,-19.194312796208536,-6.684856753069579,134,1783,134,16,16,22,0.0,0.0,-274.0,-13.32036947010209,0.0,0.0,3.0,23.076923076923084,-5.0,-23.809523809523814,0.0,0.0,306.95984,94818,43.2,39.9,0.0,,,,,,,,,,
Architecture,2024,341,684,0.0,0.0,0.0,103,1716,103,16,16,22,-31.0,-23.134328358208954,-67.0,-3.7577117218171585,-31.0,-23.134328358208954,0.0,0.0,0.0,0.0,0.0,0.0,351.3801,90344,68.3,40.2,0.0,,,,,,,,,,
Architecture (English),2021,162,262,0.0,0.0,0.0,72,1890,72,15,23,21,,,,,,,,,,,,,364.66632,76044,72.5,43.1,0.0,,,,,,,,,,
Architecture (English),2022,190,357,95.0,17.28395061728396,36.25954198473282,72,1491,72,13,21,22,0.0,0.0,-399.0,-21.111111111111114,0.0,0.0,-2.0,-13.33333333333333,-2.0,-8.695652173913048,1.0,4.761904761904767,363.88031,76869,68.6,44.6,0.0,,,,,,,,,,
Architecture (English),2023,180,371,14.0,-5.263157894736848,3.9215686274509887,72,1159,72,16,16,22,0.0,0.0,-332.0,-22.266934942991277,0.0,0.0,3.0,23.076923076923084,-5.0,-23.809523809523814,0.0,0.0,317.34775,106525,55.3,33.6,0.0,,,,,,,,,,
Architecture (English),2024,180,371,0.0,0.0,0.0,72,1140,72,16,16,22,0.0,0.0,-19.0,-1.6393442622950838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.75266,47122,61.3,40.5,0.0,,,,,,,,,,
Art and Culture Management,2021,26,36,0.0,0.0,0.0,62,508,62,2,7,6,,,,,,,,,,,,,384.72075,56591,73.9,47.6,0.0,,,,,,,,,,
Art and Culture Management,2022,73,119,83.0,180.76923076923075,230.55555555555554,62,1007,62,6,9,4,0.0,0.0,499.0,98.22834645669292,0.0,0.0,4.0,200.0,2.0,28.57142857142858,-2.0,-33.333333333333336,396.4328,46546,76.2,49.8,0.0,,,,,,,,,,
Art and Culture Management,2023,107,155,36.0,46.57534246575344,30.252100840336137,64,718,64,6,7,10,2.0,3.2258064516129004,-289.0,-28.69910625620655,2.0,3.2258064516129004,0.0,0.0,-2.0,-22.22222222222222,6.0,150.0,310.79958,144820,60.6,33.3,0.0,,,,,,,,,,
Art and Culture Management,2024,107,155,0.0,0.0,0.0,67,753,67,6,7,10,3.0,4.6875,35.0,4.874651810584951,3.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,343.29233,99871,67.5,39.9,0.0,,,,,,,,,,
Bioengineering,2021,84,319,0.0,0.0,0.0,72,1206,72,6,5,2,,,,,,,,,,,,,340.19986,103582,64.7,39.2,0.0,,,,,,,,,,
Bioengineering,2022,109,367,48.0,29.761904761904766,15.047021943573657,72,1410,72,6,5,5,0.0,0.0,204.0,16.915422885572127,0.0,0.0,0.0,0.0,0.0,0.0,3.0,150.0,359.61889,81206,67.9,42.7,0.0,,,,,,,,,,
Bioengineering,2023,106,341,-26.0,-2.752293577981646,-7.0844686648501405,72,1190,72,11,2,7,0.0,0.0,-220.0,-15.602836879432624,0.0,0.0,5.0,83.33333333333333,-3.0,-60.0,2.0,39.99999999999999,368.59681,12737,51.7,52.9,0.0,,,,,,,,,,
Bioengineering,2024,106,341,0.0,0.0,0.0,72,1182,72,11,2,7,0.0,0.0,-8.0,-0.6722689075630228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.47105,213618,54.7,26.5,0.0,,,,,,,,,,
Bioengineering (English),2021,111,307,0.0,0.0,0.0,62,1477,62,6,5,2,,,,,,,,,,,,,459.86273,8476,87.5,64.0,0.0,,,,,,,,,,
Bioengineering (English),2022,118,350,43.0,6.3063063063063085,14.006514657980462,62,1642,62,6,5,5,0.0,0.0,165.0,11.17129316181449,0.0,0.0,0.0,0.0,0.0,0.0,3.0,150.0,255.9159,343115,46.4,22.6,0.0,,,,,,,,,,
Bioengineering (English),2023,113,333,-17.0,-4.23728813559322,-4.857142857142859,62,1385,62,11,2,7,0.0,0.0,-257.0,-15.651644336175396,0.0,0.0,5.0,83.33333333333333,-3.0,-60.0,2.0,39.99999999999999,402.59571,41341,76.5,51.6,0.0,,,,,,,,,,
Bioengineering (English),2024,113,333,0.0,0.0,0.0,62,1323,62,11,2,7,0.0,0.0,-62.0,-4.476534296028878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.82375,34091,78.8,53.9,0.0,,,,,,,,,,
Biomedical Engineering (English),2021,105,143,0.0,0.0,0.0,72,960,72,0,4,1,,,,,,,,,,,,,353.46014,43517,61.8,42.2,0.0,,,,,,,,,,
Biomedical Engineering (English),2022,191,243,100.0,81.9047619047619,69.93006993006993,72,1013,72,0,4,3,0.0,0.0,53.0,5.52083333333333,0.0,0.0,0.0,,0.0,0.0,2.0,200.0,390.1278,51756,74.4,49.5,0.0,,,,,,,,,,
Biomedical Engineering (English),2023,208,271,28.0,8.900523560209429,11.522633744855959,72,1032,72,2,2,4,0.0,0.0,19.0,1.875616979269501,0.0,0.0,2.0,inf,-2.0,-50.0,1.0,33.33333333333333,423.51815,26123,81.1,57.1,0.0,,,,,,,,,,
Biomedical Engineering (English),2024,208,271,0.0,0.0,0.0,62,1212,62,2,2,4,-10.0,-13.888888888888884,180.0,17.44186046511629,-10.0,-13.888888888888884,0.0,0.0,0.0,0.0,0.0,0.0,373.52762,67138,69.8,46.1,0.0,,,,,,,,,,
Business Administration,2021,279,245,0.0,0.0,0.0,93,1915,93,12,12,11,,,,,,,,,,,,,423.06777,7641,57.7,0.0,73.3,,,,,,,,,,
Business Administration,2022,307,242,-3.0,10.035842293906816,-1.224489795918371,93,2545,93,15,12,8,0.0,0.0,630.0,32.8981723237598,0.0,0.0,3.0,25.0,0.0,0.0,-3.0,-27.27272727272727,315.97147,136596,61.7,33.5,0.0,,,,,,,,,,
Business Administration,2023,296,260,18.0,-3.583061889250816,7.438016528925617,96,1964,96,19,13,6,3.0,3.2258064516129004,-581.0,-22.829076620825152,3.0,3.2258064516129004,4.0,26.66666666666666,1.0,8.333333333333325,-2.0,-25.0,332.56982,113046,65.8,36.8,0.0,,,,,,,,,,
Business Administration,2024,296,260,0.0,0.0,0.0,103,2903,103,19,13,6,7.0,7.291666666666674,939.0,47.81059063136457,7.0,7.291666666666674,0.0,0.0,0.0,0.0,0.0,0.0,388.76072,15602,48.0,0.0,67.9,,,,,,,,,,
Business Administration (English),2021,104,69,0.0,0.0,0.0,52,1836,52,12,12,11,,,,,,,,,,,,,284.89579,193949,53.7,28.1,0.0,,,,,,,,,,
Business Administration (English),2022,181,143,74.0,74.03846153846155,107.24637681159419,52,2175,52,15,12,8,0.0,0.0,339.0,18.4640522875817,0.0,0.0,3.0,25.0,0.0,0.0,-3.0,-27.27272727272727,336.12441,69183,57.8,38.1,0.0,,,,,,,,,,
Business Administration (English),2023,208,171,28.0,14.917127071823199,19.580419580419584,54,1944,52,19,13,6,2.0,3.8461538461538547,-231.0,-10.620689655172411,0.0,0.0,4.0,26.66666666666666,1.0,8.333333333333325,-2.0,-25.0,426.70036,24127,81.1,56.9,0.0,,,,,,,,,,
