department_name,year,total_male_number,total_female_number,male_change,male_percentage_change,female_change,female_percentage_change
Bilgisayar Mühendisliği,2021,769,121,0.0,0.0,0.0,0.0
Bilgisayar Mühendisliği,2022,827,140,58.0,7.542262678803646,19.0,15.702479338842966
Bilgisayar Mühendisliği,2023,771,128,-56.0,-6.771463119709797,-12.0,-8.571428571428575
Bilgisayar Mühendisliği,2024,771,128,0.0,0.0,0.0,0.0
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,2021,178,99,0.0,0.0,0.0,0.0
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,2022,186,88,8.0,4.494382022471921,-11.0,-11.111111111111116
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,2023,175,87,-11.0,-5.913978494623651,-1.0,-1.1363636363636354
Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,2024,175,87,0.0,0.0,0.0,0.0
Biyomedikal Mühendisliği (İngilizce),2021,105,143,0.0,0.0,0.0,0.0
Biyomedikal Mühendisliği (İngilizce),2022,191,243,86.0,81.9047619047619,100.0,69.93006993006993
Biyomedikal Mühendisliği (İngilizce),2023,208,271,17.0,8.900523560209429,28.0,11.522633744855959
Biyomedikal Mühendisliği (İngilizce),2024,208,271,0.0,0.0,0.0,0.0
Biyomühendislik,2021,84,319,0.0,0.0,0.0,0.0
Biyomühendislik,2022,109,367,25.0,29.761904761904766,48.0,15.047021943573657
Biyomühendislik,2023,106,341,-3.0,-2.752293577981646,-26.0,-7.0844686648501405
Biyomühendislik,2024,106,341,0.0,0.0,0.0,0.0
Biyomühendislik (İngilizce),2021,111,307,0.0,0.0,0.0,0.0
Biyomühendislik (İngilizce),2022,118,350,7.0,6.3063063063063085,43.0,14.006514657980462
Biyomühendislik (İngilizce),2023,113,333,-5.0,-4.23728813559322,-17.0,-4.857142857142859
Biyomühendislik (İngilizce),2024,113,333,0.0,0.0,0.0,0.0
Elektrik Mühendisliği,2021,835,112,0.0,0.0,0.0,0.0
Elektrik Mühendisliği,2022,758,132,-77.0,-9.221556886227544,20.0,17.85714285714286
Elektrik Mühendisliği,2023,720,137,-38.0,-5.013192612137207,5.0,3.7878787878787845
Elektrik Mühendisliği,2024,720,137,0.0,0.0,0.0,0.0
Elektronik ve Haberleşme Mühendisliği,2021,712,102,0.0,0.0,0.0,0.0
Elektronik ve Haberleşme Mühendisliği,2022,688,109,-24.0,-3.3707865168539297,7.0,6.8627450980392135
Elektronik ve Haberleşme Mühendisliği,2023,635,107,-53.0,-7.703488372093026,-2.0,-1.834862385321101
Elektronik ve Haberleşme Mühendisliği,2024,635,107,0.0,0.0,0.0,0.0
Endüstri Mühendisliği,2021,333,278,0.0,0.0,0.0,0.0
Endüstri Mühendisliği,2022,357,286,24.0,7.2072072072072,8.0,2.877697841726623
Endüstri Mühendisliği,2023,334,270,-23.0,-6.442577030812324,-16.0,-5.594405594405593
Endüstri Mühendisliği,2024,334,270,0.0,0.0,0.0,0.0
Endüstri Mühendisliği (İngilizce),2021,224,160,0.0,0.0,0.0,0.0
Endüstri Mühendisliği (İngilizce),2022,268,199,44.0,19.64285714285714,39.0,24.374999999999993
Endüstri Mühendisliği (İngilizce),2023,265,203,-3.0,-1.1194029850746245,4.0,2.01005025125629
Endüstri Mühendisliği (İngilizce),2024,265,203,0.0,0.0,0.0,0.0
Fen Bilgisi Öğretmenliği,2021,50,210,0.0,0.0,0.0,0.0
Fen Bilgisi Öğretmenliği,2022,58,215,8.0,15.999999999999993,5.0,2.3809523809523725
Fen Bilgisi Öğretmenliği,2023,65,211,7.0,12.06896551724137,-4.0,-1.8604651162790753
Fen Bilgisi Öğretmenliği,2024,65,211,0.0,0.0,0.0,0.0
Fizik,2021,306,182,0.0,0.0,0.0,0.0
Fizik,2022,272,185,-34.0,-11.111111111111116,3.0,1.6483516483516425
Fizik,2023,278,188,6.0,2.2058823529411686,3.0,1.6216216216216273
Fizik,2024,278,188,0.0,0.0,0.0,0.0
Fotoğraf ve Video,2021,95,85,0.0,0.0,0.0,0.0
Fotoğraf ve Video,2022,107,135,12.0,12.631578947368416,50.0,58.823529411764696
Fotoğraf ve Video,2023,114,149,7.0,6.542056074766345,14.0,10.370370370370363
Fotoğraf ve Video,2024,114,149,0.0,0.0,0.0,0.0
Fransızca Mütercim ve Tercümanlık,2021,14,37,0.0,0.0,0.0,0.0
Fransızca Mütercim ve Tercümanlık,2022,50,90,36.0,257.14285714285717,53.0,143.24324324324326
Fransızca Mütercim ve Tercümanlık,2023,46,123,-4.0,-7.9999999999999964,33.0,36.66666666666667
Fransızca Mütercim ve Tercümanlık,2024,46,123,0.0,0.0,0.0,0.0
Gemi Makineleri İşletme Mühendisliği,2021,434,19,0.0,0.0,0.0,0.0
Gemi Makineleri İşletme Mühendisliği,2022,471,34,37.0,8.525345622119819,15.0,78.94736842105263
Gemi Makineleri İşletme Mühendisliği,2023,416,39,-55.0,-11.677282377919319,5.0,14.705882352941169
Gemi Makineleri İşletme Mühendisliği,2024,416,39,0.0,0.0,0.0,0.0
Gemi İnşaatı ve Gemi Makineleri Mühendisliği,2021,546,52,0.0,0.0,0.0,0.0
Gemi İnşaatı ve Gemi Makineleri Mühendisliği,2022,554,68,8.0,1.46520146520146,16.0,30.76923076923077
Gemi İnşaatı ve Gemi Makineleri Mühendisliği,2023,523,72,-31.0,-5.595667870036102,4.0,5.882352941176472
Gemi İnşaatı ve Gemi Makineleri Mühendisliği,2024,523,72,0.0,0.0,0.0,0.0
Gıda Mühendisliği,2021,63,323,0.0,0.0,0.0,0.0
Gıda Mühendisliği,2022,73,338,10.0,15.873015873015884,15.0,4.643962848297223
Gıda Mühendisliği,2023,79,331,6.0,8.219178082191792,-7.0,-2.071005917159763
Gıda Mühendisliği,2024,79,331,0.0,0.0,0.0,0.0
Harita Mühendisliği,2021,434,199,0.0,0.0,0.0,0.0
Harita Mühendisliği,2022,380,208,-54.0,-12.442396313364057,9.0,4.522613065326642
Harita Mühendisliği,2023,345,201,-35.0,-9.210526315789469,-7.0,-3.3653846153846145
Harita Mühendisliği,2024,345,201,0.0,0.0,0.0,0.0
Kimya,2021,144,495,0.0,0.0,0.0,0.0
Kimya,2022,131,485,-13.0,-9.027777777777779,-10.0,-2.020202020202022
Kimya,2023,125,469,-6.0,-4.580152671755721,-16.0,-3.298969072164948
Kimya,2024,125,469,0.0,0.0,0.0,0.0
Kimya (İngilizce),2021,69,149,0.0,0.0,0.0,0.0
Kimya (İngilizce),2022,81,181,12.0,17.391304347826097,32.0,21.476510067114084
Kimya (İngilizce),2023,79,207,-2.0,-2.4691358024691357,26.0,14.36464088397791
Kimya (İngilizce),2024,79,207,0.0,0.0,0.0,0.0
Kimya Mühendisliği,2021,147,377,0.0,0.0,0.0,0.0
Kimya Mühendisliği,2022,156,398,9.0,6.1224489795918435,21.0,5.57029177718833
Kimya Mühendisliği,2023,157,367,1.0,0.6410256410256387,-31.0,-7.788944723618085
Kimya Mühendisliği,2024,157,367,0.0,0.0,0.0,0.0
Kimya Mühendisliği (İngilizce),2021,143,277,0.0,0.0,0.0,0.0
Kimya Mühendisliği (İngilizce),2022,176,304,33.0,23.076923076923084,27.0,9.747292418772568
Kimya Mühendisliği (İngilizce),2023,176,311,0.0,0.0,7.0,2.3026315789473673
Kimya Mühendisliği (İngilizce),2024,176,311,0.0,0.0,0.0,0.0
Kontrol ve Otomasyon Mühendisliği,2021,414,60,0.0,0.0,0.0,0.0
Kontrol ve Otomasyon Mühendisliği,2022,450,79,36.0,8.695652173913038,19.0,31.666666666666664
Kontrol ve Otomasyon Mühendisliği,2023,417,88,-33.0,-7.333333333333336,9.0,11.392405063291132
Kontrol ve Otomasyon Mühendisliği,2024,417,88,0.0,0.0,0.0,0.0
Kontrol ve Otomasyon Mühendisliği (İngilizce),2021,311,61,0.0,0.0,0.0,0.0
Kontrol ve Otomasyon Mühendisliği (İngilizce),2022,361,80,50.0,16.077170418006425,19.0,31.147540983606547
Kontrol ve Otomasyon Mühendisliği (İngilizce),2023,360,86,-1.0,-0.27700831024930483,6.0,7.499999999999996
Kontrol ve Otomasyon Mühendisliği (İngilizce),2024,360,86,0.0,0.0,0.0,0.0
Kültür Varlıklarını Koruma ve Onarım,2021,40,58,0.0,0.0,0.0,0.0
Kültür Varlıklarını Koruma ve Onarım,2022,76,104,36.0,89.99999999999999,46.0,79.3103448275862
Kültür Varlıklarını Koruma ve Onarım,2023,88,130,12.0,15.789473684210531,26.0,25.0
Kültür Varlıklarını Koruma ve Onarım,2024,88,130,0.0,0.0,0.0,0.0
Kültür Varlıklarını Koruma ve Onarım (KKTC Uyruklu),2023,0,0,0.0,0.0,0.0,0.0
Kültür Varlıklarını Koruma ve Onarım (KKTC Uyruklu),2024,0,0,0.0,0.0,0.0,0.0
Makine Mühendisliği,2021,1546,122,0.0,0.0,0.0,0.0
Makine Mühendisliği,2022,1429,150,-117.0,-7.56791720569211,28.0,22.95081967213115
Makine Mühendisliği,2023,1277,165,-152.0,-10.636808957312805,15.0,10.000000000000009
Makine Mühendisliği,2024,1277,165,0.0,0.0,0.0,0.0
Matematik,2021,190,235,0.0,0.0,0.0,0.0
Matematik,2022,232,193,42.0,22.10526315789474,-42.0,-17.872340425531917
Matematik,2023,254,198,22.0,9.482758620689658,5.0,2.590673575129543
Matematik,2024,254,198,0.0,0.0,0.0,0.0
Matematik Mühendisliği,2021,364,347,0.0,0.0,0.0,0.0
Matematik Mühendisliği,2022,367,302,3.0,0.8241758241758212,-45.0,-12.968299711815568
Matematik Mühendisliği,2023,402,274,35.0,9.53678474114441,-28.0,-9.27152317880795
Matematik Mühendisliği,2024,402,274,0.0,0.0,0.0,0.0
Matematik Mühendisliği (KKTC Uyruklu),2021,0,0,0.0,0.0,0.0,0.0
Matematik Mühendisliği (KKTC Uyruklu),2022,0,0,0.0,0.0,0.0,0.0
Matematik Mühendisliği (KKTC Uyruklu),2023,0,0,0.0,0.0,0.0,0.0
Matematik Mühendisliği (KKTC Uyruklu),2024,0,0,0.0,0.0,0.0,0.0
Matematik Mühendisliği (İngilizce),2021,205,197,0.0,0.0,0.0,0.0
Matematik Mühendisliği (İngilizce),2022,272,186,67.0,32.6829268292683,-11.0,-5.58375634517766
Matematik Mühendisliği (İngilizce),2023,306,175,34.0,12.5,-11.0,-5.913978494623651
Matematik Mühendisliği (İngilizce),2024,306,175,0.0,0.0,0.0,0.0
Mekatronik Mühendisliği,2021,378,75,0.0,0.0,0.0,0.0
Mekatronik Mühendisliği,2022,421,91,43.0,11.375661375661373,16.0,21.333333333333336
Mekatronik Mühendisliği,2023,398,85,-23.0,-5.463182897862229,-6.0,-6.593406593406592
Mekatronik Mühendisliği,2024,398,85,0.0,0.0,0.0,0.0
Mekatronik Mühendisliği (İngilizce),2021,332,58,0.0,0.0,0.0,0.0
Mekatronik Mühendisliği (İngilizce),2022,390,73,58.0,17.469879518072283,15.0,25.86206896551724
Mekatronik Mühendisliği (İngilizce),2023,379,80,-11.0,-2.8205128205128216,7.0,9.589041095890405
Mekatronik Mühendisliği (İngilizce),2024,379,80,0.0,0.0,0.0,0.0
Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),2021,0,0,0.0,0.0,0.0,0.0
Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),2022,8,0,8.0,inf,0.0,0.0
Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),2023,3,0,-5.0,-62.5,0.0,0.0
Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),2024,3,0,0.0,0.0,0.0,0.0
Metalurji ve Malzeme Mühendisliği,2021,487,220,0.0,0.0,0.0,0.0
Metalurji ve Malzeme Mühendisliği,2022,416,263,-71.0,-14.579055441478438,43.0,19.545454545454554
Metalurji ve Malzeme Mühendisliği,2023,380,249,-36.0,-8.653846153846157,-14.0,-5.323193916349811
Metalurji ve Malzeme Mühendisliği,2024,380,249,0.0,0.0,0.0,0.0
Metalurji ve Malzeme Mühendisliği (İngilizce),2021,203,124,0.0,0.0,0.0,0.0
Metalurji ve Malzeme Mühendisliği (İngilizce),2022,209,129,6.0,2.9556650246305383,5.0,4.0322580645161255
Metalurji ve Malzeme Mühendisliği (İngilizce),2023,205,127,-4.0,-1.9138755980861233,-2.0,-1.5503875968992276
Metalurji ve Malzeme Mühendisliği (İngilizce),2024,205,127,0.0,0.0,0.0,0.0
Mimarlık,2021,465,645,0.0,0.0,0.0,0.0
Mimarlık,2022,422,733,-43.0,-9.247311827956995,88.0,13.643410852713188
Mimarlık,2023,341,684,-81.0,-19.194312796208536,-49.0,-6.684856753069579
Mimarlık,2024,341,684,0.0,0.0,0.0,0.0
Mimarlık (İngilizce),2021,162,262,0.0,0.0,0.0,0.0
Mimarlık (İngilizce),2022,190,357,28.0,17.28395061728396,95.0,36.25954198473282
Mimarlık (İngilizce),2023,180,371,-10.0,-5.263157894736848,14.0,3.9215686274509887
Mimarlık (İngilizce),2024,180,371,0.0,0.0,0.0,0.0
Moleküler Biyoloji ve Genetik,2021,124,254,0.0,0.0,0.0,0.0
Moleküler Biyoloji ve Genetik,2022,130,326,6.0,4.8387096774193505,72.0,28.346456692913378
Moleküler Biyoloji ve Genetik,2023,135,323,5.0,3.8461538461538547,-3.0,-0.9202453987730008
Moleküler Biyoloji ve Genetik,2024,135,323,0.0,0.0,0.0,0.0
Okul Öncesi Öğretmenliği,2021,43,258,0.0,0.0,0.0,0.0
Okul Öncesi Öğretmenliği,2022,48,280,5.0,11.627906976744185,22.0,8.52713178294573
Okul Öncesi Öğretmenliği,2023,45,257,-3.0,-6.25,-23.0,-8.214285714285719
Okul Öncesi Öğretmenliği,2024,45,257,0.0,0.0,0.0,0.0
Rehberlik ve Psikolojik Danışmanlık,2021,86,269,0.0,0.0,0.0,0.0
Rehberlik ve Psikolojik Danışmanlık,2022,93,282,7.0,8.139534883720923,13.0,4.832713754646845
Rehberlik ve Psikolojik Danışmanlık,2023,87,298,-6.0,-6.451612903225811,16.0,5.673758865248235
Rehberlik ve Psikolojik Danışmanlık,2024,87,298,0.0,0.0,0.0,0.0
Sanat ve Kültür Yönetimi,2021,26,36,0.0,0.0,0.0,0.0
Sanat ve Kültür Yönetimi,2022,73,119,47.0,180.76923076923075,83.0,230.55555555555554
Sanat ve Kültür Yönetimi,2023,107,155,34.0,46.57534246575344,36.0,30.252100840336137
Sanat ve Kültür Yönetimi,2024,107,155,0.0,0.0,0.0,0.0
Siyaset Bilimi ve Uluslararası İlişkiler,2021,212,292,0.0,0.0,0.0,0.0
Siyaset Bilimi ve Uluslararası İlişkiler,2022,196,302,-16.0,-7.547169811320753,10.0,3.424657534246567
Siyaset Bilimi ve Uluslararası İlişkiler,2023,188,299,-8.0,-4.081632653061229,-3.0,-0.9933774834437137
Siyaset Bilimi ve Uluslararası İlişkiler,2024,188,299,0.0,0.0,0.0,0.0
Sosyal Bilgiler Öğretmenliği,2021,86,163,0.0,0.0,0.0,0.0
Sosyal Bilgiler Öğretmenliği,2022,95,165,9.0,10.465116279069765,2.0,1.2269938650306678
Sosyal Bilgiler Öğretmenliği,2023,99,150,4.0,4.210526315789465,-15.0,-9.090909090909093
Sosyal Bilgiler Öğretmenliği,2024,99,150,0.0,0.0,0.0,0.0
Sınıf Öğretmenliği,2021,65,210,0.0,0.0,0.0,0.0
Sınıf Öğretmenliği,2022,65,228,0.0,0.0,18.0,8.571428571428562
Sınıf Öğretmenliği,2023,66,221,1.0,1.538461538461533,-7.0,-3.0701754385964897
Sınıf Öğretmenliği,2024,66,221,0.0,0.0,0.0,0.0
Türk Dili ve Edebiyatı,2021,75,230,0.0,0.0,0.0,0.0
Türk Dili ve Edebiyatı,2022,80,235,5.0,6.666666666666665,5.0,2.1739130434782705
Türk Dili ve Edebiyatı,2023,84,255,4.0,5.000000000000004,20.0,8.51063829787233
Türk Dili ve Edebiyatı,2024,84,255,0.0,0.0,0.0,0.0
Türkçe Öğretmenliği,2021,104,168,0.0,0.0,0.0,0.0
Türkçe Öğretmenliği,2022,118,183,14.0,13.461538461538458,15.0,8.92857142857142
Türkçe Öğretmenliği,2023,119,184,1.0,0.8474576271186418,1.0,0.5464480874316946
Türkçe Öğretmenliği,2024,119,184,0.0,0.0,0.0,0.0
Çevre Mühendisliği,2021,178,283,0.0,0.0,0.0,0.0
Çevre Mühendisliği,2022,168,306,-10.0,-5.61797752808989,23.0,8.127208480565361
Çevre Mühendisliği,2023,150,293,-18.0,-10.71428571428571,-13.0,-4.248366013071891
Çevre Mühendisliği,2024,150,293,0.0,0.0,0.0,0.0
İktisat,2023,54,52,0.0,0.0,0.0,0.0
İktisat,2024,54,52,0.0,0.0,0.0,0.0
İktisat (İngilizce),2021,170,110,0.0,0.0,0.0,0.0
İktisat (İngilizce),2022,216,127,46.0,27.058823529411757,17.0,15.454545454545453
İktisat (İngilizce),2023,222,134,6.0,2.777777777777768,7.0,5.5118110236220375
İktisat (İngilizce),2024,222,134,0.0,0.0,0.0,0.0
İletişim ve Tasarımı,2021,27,39,0.0,0.0,0.0,0.0
İletişim ve Tasarımı,2022,82,153,55.0,203.70370370370372,114.0,292.30769230769226
İletişim ve Tasarımı,2023,105,218,23.0,28.04878048780488,65.0,42.48366013071896
İletişim ve Tasarımı,2024,105,218,0.0,0.0,0.0,0.0
İlköğretim Matematik Öğretmenliği,2021,92,225,0.0,0.0,0.0,0.0
İlköğretim Matematik Öğretmenliği,2022,96,248,4.0,4.347826086956519,23.0,10.222222222222221
İlköğretim Matematik Öğretmenliği,2023,86,232,-10.0,-10.416666666666663,-16.0,-6.451612903225811
İlköğretim Matematik Öğretmenliği,2024,86,232,0.0,0.0,0.0,0.0
İngilizce Öğretmenliği,2021,112,191,0.0,0.0,0.0,0.0
İngilizce Öğretmenliği,2022,119,202,7.0,6.25,11.0,5.759162303664911
İngilizce Öğretmenliği,2023,112,197,-7.0,-5.882352941176472,-5.0,-2.4752475247524774
