faculty_name,year,quota,preferred,placed_students,professors,phd,assoc_prof,Quota Change,Quota Change (%),Preferred Change,Preferred Change (%),Placed_students Change,Placed_students Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc_prof Change,Assoc_prof Change (%)
Elektrik-Elektronik Fakültesi,2021,546,8745,546,21,53,25,,,,,,,,,,,,
Elektrik-Elektronik Fakültesi,2022,546,11327,546,28,49,28,0.0,0.0,2582.0,29.52544311034877,0.0,0.0,7.0,33.33333333333333,-4.0,-7.547169811320753,3.0,12.00000000000001
Elektrik-Elektronik Fakültesi,2023,556,11099,556,36,46,41,10.0,1.831501831501825,-228.0,-2.01288955592831,10.0,1.831501831501825,8.0,28.57142857142858,-3.0,-6.122448979591832,13.0,46.428571428571416
Elektrik-Elektronik Fakültesi,2024,571,12349,571,36,46,41,15.0,2.6978417266187105,1250.0,11.262275880709982,15.0,2.6978417266187105,0.0,0.0,0.0,0.0,0.0,0.0
Eğitim Fakültesi,2021,537,9537,537,17,20,13,,,,,,,,,,,,
Eğitim Fakültesi,2022,537,9381,537,24,18,20,0.0,0.0,-156.0,-1.6357345077068208,0.0,0.0,7.0,41.176470588235304,-2.0,-9.999999999999998,7.0,53.846153846153854
Eğitim Fakültesi,2023,537,8627,537,25,15,22,0.0,0.0,-754.0,-8.037522652169283,0.0,0.0,1.0,4.166666666666674,-3.0,-16.666666666666664,2.0,10.000000000000009
Eğitim Fakültesi,2024,367,7865,367,25,15,22,-170.0,-31.65735567970205,-762.0,-8.8327344383911,-170.0,-31.65735567970205,0.0,0.0,0.0,0.0,0.0,0.0
Fen-Edebiyat Fakültesi,2021,607,9417,607,100,55,56,,,,,,,,,,,,
Fen-Edebiyat Fakültesi,2022,607,13410,607,113,47,51,0.0,0.0,3993.0,42.402038865880854,0.0,0.0,13.0,12.99999999999999,-8.0,-14.54545454545455,-5.0,-8.92857142857143
Fen-Edebiyat Fakültesi,2023,624,11845,613,139,57,57,17.0,2.8006589785831926,-1565.0,-11.67039522744221,6.0,0.9884678747940745,26.0,23.008849557522115,10.0,21.27659574468086,6.0,11.764705882352944
Fen-Edebiyat Fakültesi,2024,515,10166,515,139,57,57,-109.0,-17.467948717948723,-1679.0,-14.174757281553397,-98.0,-15.986949429037523,0.0,0.0,0.0,0.0,0.0,0.0
Gemi İnşaatı ve Denizcilik Fakültesi,2021,154,1744,154,14,18,7,,,,,,,,,,,,
Gemi İnşaatı ve Denizcilik Fakültesi,2022,154,2385,154,15,14,9,0.0,0.0,641.0,36.75458715596329,0.0,0.0,1.0,7.14285714285714,-4.0,-22.22222222222222,2.0,28.57142857142858
Gemi İnşaatı ve Denizcilik Fakültesi,2023,154,2565,154,15,11,13,0.0,0.0,180.0,7.547169811320753,0.0,0.0,0.0,0.0,-3.0,-21.42857142857143,4.0,44.44444444444444
Gemi İnşaatı ve Denizcilik Fakültesi,2024,165,3299,165,15,11,13,11.0,7.14285714285714,734.0,28.615984405458093,11.0,7.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0
Kimya-Metalurji Fakültesi,2021,691,10947,690,80,77,46,,,,,,,,,,,,
Kimya-Metalurji Fakültesi,2022,691,14463,691,75,66,62,0.0,0.0,3516.0,32.11838859961633,1.0,0.14492753623187582,-5.0,-6.25,-11.0,-14.28571428571429,16.0,34.78260869565217
Kimya-Metalurji Fakültesi,2023,691,14117,691,113,67,69,0.0,0.0,-346.0,-2.3923114153356795,0.0,0.0,38.0,50.66666666666666,1.0,1.5151515151515138,7.0,11.290322580645151
Kimya-Metalurji Fakültesi,2024,630,14192,630,113,67,69,-61.0,-8.827785817655576,75.0,0.5312743500743844,-61.0,-8.827785817655576,0.0,0.0,0.0,0.0,0.0,0.0
Makine Fakültesi,2021,465,8805,464,49,54,28,,,,,,,,,,,,
Makine Fakültesi,2022,465,11050,465,56,47,37,0.0,0.0,2245.0,25.49687677455992,1.0,0.21551724137931494,7.0,14.28571428571428,-7.0,-12.962962962962965,9.0,32.14285714285714
Makine Fakültesi,2023,466,10268,466,69,53,41,1.0,0.21505376344086446,-782.0,-7.07692307692308,1.0,0.21505376344086446,13.0,23.214285714285722,6.0,12.765957446808507,4.0,10.81081081081081
Makine Fakültesi,2024,491,10095,491,69,53,41,25.0,5.364806866952798,-173.0,-1.6848461238800128,25.0,5.364806866952798,0.0,0.0,0.0,0.0,0.0,0.0
Mimarlık Fakültesi,2021,329,5439,329,37,57,55,,,,,,,,,,,,
Mimarlık Fakültesi,2022,329,5786,329,33,54,57,0.0,0.0,347.0,6.379849236992086,0.0,0.0,-4.0,-10.81081081081081,-3.0,-5.263157894736848,2.0,3.6363636363636376
Mimarlık Fakültesi,2023,333,4893,330,41,44,57,4.0,1.2158054711246091,-893.0,-15.433805737988248,1.0,0.3039513677811634,8.0,24.242424242424242,-10.0,-18.518518518518523,0.0,0.0
Mimarlık Fakültesi,2024,275,4752,274,41,44,57,-58.0,-17.417417417417415,-141.0,-2.8816676885346393,-56.0,-16.96969696969697,0.0,0.0,0.0,0.0,0.0,0.0
Sanat ve Tasarım Fakültesi,2021,165,1581,165,4,16,12,,,,,,,,,,,,
Sanat ve Tasarım Fakültesi,2022,165,2954,165,12,20,9,0.0,0.0,1373.0,86.8437697659709,0.0,0.0,8.0,200.0,4.0,25.0,-3.0,-25.0
Sanat ve Tasarım Fakültesi,2023,170,2294,170,13,16,21,5.0,3.0303030303030276,-660.0,-22.34258632362898,5.0,3.0303030303030276,1.0,8.333333333333325,-4.0,-19.999999999999996,12.0,133.33333333333334
Sanat ve Tasarım Fakültesi,2024,175,2353,175,13,16,21,5.0,2.941176470588225,59.0,2.571926765475152,5.0,2.941176470588225,0.0,0.0,0.0,0.0,0.0,0.0
İktisadi ve İdari Bilimler Fakültesi,2021,279,6410,279,41,37,27,,,,,,,,,,,,
İktisadi ve İdari Bilimler Fakültesi,2022,279,8240,279,35,25,20,0.0,0.0,1830.0,28.549141965678636,0.0,0.0,-6.0,-14.634146341463417,-12.0,-32.432432432432435,-7.0,-25.92592592592593
İktisadi ve İdari Bilimler Fakültesi,2023,394,12295,390,71,43,23,115.0,41.21863799283154,4055.0,49.211165048543684,111.0,39.78494623655915,36.0,102.85714285714285,18.0,72.0,3.0,14.999999999999991
İktisadi ve İdari Bilimler Fakültesi,2024,418,12870,418,71,43,23,24.0,6.091370558375631,575.0,4.6766978446523,28.0,7.179487179487176,0.0,0.0,0.0,0.0,0.0,0.0
İnşaat Fakültesi,2021,361,3695,361,56,60,48,,,,,,,,,,,,
İnşaat Fakültesi,2022,361,5179,361,70,54,45,0.0,0.0,1484.0,40.16238159675236,0.0,0.0,14.0,25.0,-6.0,-9.999999999999998,-3.0,-6.25
İnşaat Fakültesi,2023,361,4930,361,85,58,45,0.0,0.0,-249.0,-4.807877968719831,0.0,0.0,15.0,21.42857142857142,4.0,7.407407407407418,0.0,0.0
İnşaat Fakültesi,2024,268,5399,268,85,58,45,-93.0,-25.761772853185594,469.0,9.513184584178491,-93.0,-25.761772853185594,0.0,0.0,0.0,0.0,0.0,0.0
