Faculty Name,Year,Total Male Number,Total Female Number,Male Change,Male Percentage Change,Female Percentage Change,Quota,Preferred number,Placed Number,Professors,Phd,Assoc Prof,Quota Change,Quota Change (%),Preferred number Change,Preferred number Change (%),Placed number Change,Placed number Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc prof Change,Assoc prof Change (%),Base Point,Success Order,Total Correct TYT,Total Correct AYT,Total Correct YDT,Base Point Change,Success Order Change,Total Correct TYT Change,Total Correct AYT Change,Total Correct YDT Change,Base Point Change (%),Success Order Change (%),Total Correct TYT Change (%),Total Correct AYT Change (%),Total Correct YDT Change (%)
Faculty of Architecture,2021,784,1232,0.0,0.0,0.0,329,5439,329,37,57,55,,,,,,,,,,,,,327.0395825,167224.5,61.825,35.95,0.0,,,,,,,,,,
Faculty of Architecture,2022,812,1501,269.0,3.571428571428581,21.834415584415588,329,5786,329,33,54,57,0.0,0.0,347.0,6.379849236992086,0.0,0.0,-4.0,-10.81081081081081,-3.0,-5.263157894736848,2.0,3.6363636363636376,331.15579333333335,59165.333333333336,47.5,45.03333333333333,0.0,,,,,,,,,,
Faculty of Architecture,2023,746,1493,-8.0,-8.128078817733986,-0.532978014656893,333,4893,330,41,44,57,4.0,1.2158054711246091,-893.0,-15.433805737988248,1.0,0.3039513677811634,8.0,24.242424242424242,-10.0,-18.518518518518523,0.0,0.0,333.91437625,106575.25,59.45,32.887499999999996,8.4875,,,,,,,,,,
Faculty of Architecture,2024,746,1493,0.0,0.0,0.0,275,4752,274,41,44,57,-58.0,-17.417417417417415,-141.0,-2.8816676885346393,-56.0,-16.96969696969697,0.0,0.0,0.0,0.0,0.0,0.0,339.428692,58944.4,65.66,41.54,0.0,,,,,,,,,,
Faculty of Art and Design,2021,148,160,0.0,0.0,0.0,165,1581,165,4,16,12,,,,,,,,,,,,,325.1715025,128833.25,62.0,35.875,0.0,,,,,,,,,,
Faculty of Art and Design,2022,262,407,247.0,77.02702702702702,154.37500000000003,165,2954,165,12,20,9,0.0,0.0,1373.0,86.8437697659709,0.0,0.0,8.0,200.0,4.0,25.0,-3.0,-25.0,330.97827,85429.75,57.675,36.825,0.0,,,,,,,,,,
Faculty of Art and Design,2023,326,522,115.0,24.427480916030532,28.25552825552826,170,2294,170,13,16,21,5.0,3.0303030303030276,-660.0,-22.34258632362898,5.0,3.0303030303030276,1.0,8.333333333333325,-4.0,-19.999999999999996,12.0,133.33333333333334,346.96290444444446,72996.11111111111,55.18888888888889,37.81111111111111,8.144444444444444,,,,,,,,,,
Faculty of Art and Design,2024,326,522,0.0,0.0,0.0,175,2353,175,13,16,21,5.0,2.941176470588225,59.0,2.571926765475152,5.0,2.941176470588225,0.0,0.0,0.0,0.0,0.0,0.0,408.6347416666667,39776.0,77.81666666666666,53.449999999999996,0.0,,,,,,,,,,
Faculty of Arts and Sciences,2021,1171,1787,0.0,0.0,0.0,607,9417,607,100,55,56,,,,,,,,,,,,,349.66214833333333,24480.0,65.89999999999999,46.583333333333336,0.0,,,,,,,,,,
Faculty of Arts and Sciences,2022,1254,1907,120.0,7.087959009393674,6.715165081141583,607,13410,607,113,47,51,0.0,0.0,3993.0,42.402038865880854,0.0,0.0,13.0,12.99999999999999,-8.0,-14.54545454545455,-5.0,-8.92857142857143,367.869465,73606.0,69.75,45.35,0.0,,,,,,,,,,
Faculty of Arts and Sciences,2023,1312,1978,71.0,4.6251993620414655,3.723125327739907,624,11845,613,139,57,57,17.0,2.8006589785831926,-1565.0,-11.67039522744221,6.0,0.9884678747940745,26.0,23.008849557522115,10.0,21.27659574468086,6.0,11.764705882352944,387.97223,158036.5,75.4,44.675,0.0,60.93264750000003,-9188.0,13.575000000000003,8.724999999999994,0.0,18.631581851410917,-5.4944102090303755,21.957137080469067,24.26981919332405,
Faculty of Arts and Sciences,2024,1312,1978,0.0,0.0,0.0,515,10166,515,139,57,57,-109.0,-17.467948717948723,-1679.0,-14.174757281553397,-98.0,-15.986949429037523,0.0,0.0,0.0,0.0,0.0,0.0,385.47527666666673,47077.0,55.1,51.9,0.0,54.31948333333338,-12088.333333333336,7.600000000000001,6.866666666666667,0.0,16.40299956300528,-20.431446342452787,15.999999999999993,15.247964470762398,
Faculty of Chemical and Metallurgical Engineering,2021,1807,2491,0.0,0.0,0.0,691,10947,690,80,77,46,,,,,,,,,,,,,405.042695,86964.625,75.08749999999999,43.875,9.0,71.12831875,-19610.625,15.637499999999989,10.987500000000004,0.5124999999999993,21.301364603944627,-18.400730938937514,26.303616484440685,33.40935005701255,6.038291605301915
Faculty of Chemical and Metallurgical Engineering,2022,1896,2637,146.0,4.92529053680133,5.861099959855487,691,14463,691,75,66,62,0.0,0.0,3516.0,32.11838859961633,1.0,0.14492753623187582,-5.0,-6.25,-11.0,-14.28571428571429,16.0,34.78260869565217,454.31184599999995,54074.2,89.09,60.39,0.0,114.88315399999993,-4870.200000000004,23.430000000000007,18.85,0.0,33.84603503112223,-8.262362497540066,35.68382576911362,45.37794896485317,
Faculty of Chemical and Metallurgical Engineering,2023,1924,2508,-129.0,1.4767932489451407,-4.891922639362911,691,14117,691,113,67,69,0.0,0.0,-346.0,-2.3923114153356795,0.0,0.0,38.0,50.66666666666666,1.0,1.5151515151515138,7.0,11.290322580645151,394.63574,116515.5,78.45,46.05,0.0,69.46423750000002,-12317.75,16.450000000000003,10.174999999999997,0.0,21.36233863236525,-9.561002303365008,26.532258064516135,28.36236933797909,
Faculty of Chemical and Metallurgical Engineering,2024,1924,2508,0.0,0.0,0.0,630,14192,630,113,67,69,-61.0,-8.827785817655576,75.0,0.5312743500743844,-61.0,-8.827785817655576,0.0,0.0,0.0,0.0,0.0,0.0,399.0257025,66646.0,72.7,47.625,0.0,68.04743250000001,-18783.75,15.025000000000006,10.799999999999997,0.0,20.55948642791565,-21.987363886702227,26.05114867793672,29.327902240325866,
Faculty of Civil Engineering,2021,1835,639,0.0,0.0,0.0,361,3695,361,56,60,48,,,,,,,,,,,,,397.2091422222222,74214.88888888889,65.32222222222222,44.01111111111111,8.31111111111111,50.246237777777765,1218.777777777781,10.133333333333333,6.200000000000003,0.16666666666666607,14.481731947175103,1.6696475459118787,18.361183813166893,16.397296503085524,2.04638472032741
