faculty_name,year,total_male_number,total_female_number,male_change,male_percentage_change,female_change,female_percentage_change
Elektrik-Elektronik Fakültesi,2021,3146,599,0.0,0.0,0.0,0.0
Elektrik-Elektronik Fakültesi,2022,3275,783,129.0,4.100445009535925,184.0,30.717863105175304
Elektrik-Elektronik Fakültesi,2023,3111,817,-164.0,-5.007633587786264,34.0,4.342273307790556
Elektrik-Elektronik Fakültesi,2024,3111,817,0.0,0.0,0.0,0.0
Eğitim Fakültesi,2021,816,1793,0.0,0.0,0.0,0.0
Eğitim Fakültesi,2022,878,1891,62.0,7.59803921568627,98.0,5.465699944227542
Eğitim Fakültesi,2023,854,1837,-24.0,-2.733485193621865,-54.0,-2.8556319407720743
Eğitim Fakültesi,2024,854,1837,0.0,0.0,0.0,0.0
Fen-Edebiyat Fakültesi,2021,1171,1787,0.0,0.0,0.0,0.0
Fen-Edebiyat Fakültesi,2022,1254,1907,83.0,7.087959009393674,120.0,6.715165081141583
Fen-Edebiyat Fakültesi,2023,1312,1978,58.0,4.6251993620414655,71.0,3.723125327739907
Fen-Edebiyat Fakültesi,2024,1312,1978,0.0,0.0,0.0,0.0
Gemi İnşaatı ve Denizcilik Fakültesi,2021,980,71,0.0,0.0,0.0,0.0
Gemi İnşaatı ve Denizcilik Fakültesi,2022,1025,102,45.0,4.591836734693877,31.0,43.66197183098593
Gemi İnşaatı ve Denizcilik Fakültesi,2023,939,111,-86.0,-8.390243902439021,9.0,8.823529411764696
Gemi İnşaatı ve Denizcilik Fakültesi,2024,939,111,0.0,0.0,0.0,0.0
Kimya-Metalurji Fakültesi,2021,1807,2491,0.0,0.0,0.0,0.0
Kimya-Metalurji Fakültesi,2022,1896,2637,89.0,4.92529053680133,146.0,5.861099959855487
Kimya-Metalurji Fakültesi,2023,1924,2508,28.0,1.4767932489451407,-129.0,-4.891922639362911
Kimya-Metalurji Fakültesi,2024,1924,2508,0.0,0.0,0.0,0.0
Makine Fakültesi,2021,2813,693,0.0,0.0,0.0,0.0
Makine Fakültesi,2022,2873,799,60.0,2.1329541414859543,106.0,15.295815295815295
Makine Fakültesi,2023,2656,803,-217.0,-7.553080403759138,4.0,0.5006257822277815
Makine Fakültesi,2024,2656,803,0.0,0.0,0.0,0.0
Mimarlık Fakültesi,2021,784,1232,0.0,0.0,0.0,0.0
Mimarlık Fakültesi,2022,812,1501,28.0,3.571428571428581,269.0,21.834415584415588
Mimarlık Fakültesi,2023,746,1493,-66.0,-8.128078817733986,-8.0,-0.532978014656893
Mimarlık Fakültesi,2024,746,1493,0.0,0.0,0.0,0.0
Sanat ve Tasarım Fakültesi,2021,148,160,0.0,0.0,0.0,0.0
Sanat ve Tasarım Fakültesi,2022,262,407,114.0,77.02702702702702,247.0,154.37500000000003
Sanat ve Tasarım Fakültesi,2023,326,522,64.0,24.427480916030532,115.0,28.25552825552826
Sanat ve Tasarım Fakültesi,2024,326,522,0.0,0.0,0.0,0.0
İktisadi ve İdari Bilimler Fakültesi,2021,765,716,0.0,0.0,0.0,0.0
İktisadi ve İdari Bilimler Fakültesi,2022,900,814,135.0,17.647058823529417,98.0,13.687150837988838
İktisadi ve İdari Bilimler Fakültesi,2023,968,916,68.0,7.55555555555556,102.0,12.53071253071254
İktisadi ve İdari Bilimler Fakültesi,2024,968,916,0.0,0.0,0.0,0.0
İnşaat Fakültesi,2021,1835,639,0.0,0.0,0.0,0.0
İnşaat Fakültesi,2022,1705,709,-130.0,-7.0844686648501405,70.0,10.954616588419409
İnşaat Fakültesi,2023,1567,693,-138.0,-8.093841642228739,-16.0,-2.256699576868826
İnşaat Fakültesi,2024,1567,693,0.0,0.0,0.0,0.0
